Car_name,MSRP
2015 Audi A4,"$19,995"
2015 Audi A4,"$19,995"
2014 Audi A5,"$20,995"
2017 Audi Q5,"$28,995"
2012 Audi S4,"$22,995"
2014 Audi S5,"$29,995"
2014 Audi S6,"$34,995"
2013 Audi S7,"$34,995"
2018 BMW 3-Series,"$32,995"
2015 BMW 3-Series,"$29,995"
2013 BMW 3-Series,"$16,995"
2015 BMW 4 Series,"$34,995"
2013 BMW 7-Series,"$17,995"
2012 BMW X1,"$12,995"
2017 BMW X4,"$34,995"
2018 Honda Accord,"$28,995"
2008 Hyundai Santa Fe,"$9,995"
2008 Hyundai Santa Fe,"$9,995"
2016 Jeep Compass,"$19,995"
2008 Land Rover Range Rover,"$13,995"
2014 Land Rover Range Rover Evoque,"$30,995"
2012 Land Rover Range Rover Sport,"$26,995"
2016 Mercedes-Benz C-Class,"$28,495"
2016 Mercedes-Benz CLS,"$34,995"
2017 Mercedes-Benz E-Class,"$36,995"
2017 Mini Cooper Clubman,"$20,995"
2016 Volkswagen Golf GTI,"$23,995"
2016 Volvo V60,"$27,995"
2016 Volvo XC60,"$29,995"
2016 Volvo XC90,"$36,995"
